lapTime	speed_Mph	gas	brake	steer	gear	x	y	z
0.009	145.75949096679688	1.0	0.0	4.698400020599365	6	205.3946075439453	-84.8812026977539	-386.2943115234375
0.03	145.83294677734375	1.0	0.0	4.950099945068359	6	204.02928161621094	-84.86763000488281	-386.3917236328125
0.042	145.86474609375	1.0	0.0	5.369600296020508	6	203.24887084960938	-84.861083984375	-386.44793701171875
0.066	145.86517333984375	1.0	0.0	6.208600044250488	6	201.68798828125	-84.8517074584961	-386.5614013671875
0.075	145.85446166992188	1.0	0.0	6.711999416351318	6	201.1027374267578	-84.84972381591797	-386.6041259765625
0.087	145.87852478027344	1.0	0.0	7.215399742126465	6	200.32229614257812	-84.84828186035156	-386.66143798828125
0.111	145.996337890625	1.0	0.0	7.802700042724609	6	198.76058959960938	-84.84859466552734	-386.77734375
0.12	146.0609893798828	1.0	0.0	8.18025016784668	6	198.17459106445312	-84.84952545166016	-386.82135009765625
0.132	146.1285400390625	1.0	0.0	8.389999389648438	6	197.3929901123047	-84.85107421875	-386.8807373046875
0.153	146.19757080078125	1.0	0.0	8.431949615478516	6	196.0247802734375	-84.85406494140625	-386.9864807128906
0.165	146.25144958496094	1.0	0.0	8.431949615478516	6	195.24270629882812	-84.85578918457031	-387.04815673828125
0.186	146.3184356689453	1.0	0.0	8.306100845336914	6	193.8737030029297	-84.85774230957031	-387.15875244140625
0.198	146.35784912109375	1.0	0.0	8.138299942016602	6	193.0912628173828	-84.85792541503906	-387.2235412597656
0.219	146.43276977539062	1.0	0.0	7.634900093078613	6	191.72169494628906	-84.85672760009766	-387.3398132324219
0.231	146.46923828125	1.0	0.0	7.299300193786621	6	190.93894958496094	-84.85498046875	-387.4079284667969
0.243	146.50283813476562	1.0	0.0	6.921750068664551	6	190.1561279296875	-84.85249328613281	-387.4772033691406
0.255	146.54066467285156	1.0	0.0	6.62809944152832	6	189.37319946289062	-84.84944152832031	-387.547607421875
0.276	146.60699462890625	1.0	0.0	5.998849868774414	6	188.00282287597656	-84.84300231933594	-387.67340087890625
0.285	146.63441467285156	1.0	0.0	5.705199718475342	6	187.41542053222656	-84.83992004394531	-387.7282409667969
0.309	146.70472717285156	1.0	0.0	5.159850120544434	6	185.84873962402344	-84.8311538696289	-387.8770751953125
0.321	146.7387237548828	1.0	0.0	4.9081501960754395	6	185.0652618408203	-84.82666778564453	-387.95281982421875
0.342	146.80398559570312	1.0	0.0	4.656449794769287	6	183.69387817382812	-84.81912994384766	-388.0873718261719
0.354	146.84144592285156	1.0	0.0	4.572549819946289	6	182.91006469726562	-84.81526947021484	-388.16534423828125
